ds,y
2023-01-01,3600
2023-01-08,6100
2023-01-15,4850
2023-01-22,8215
2023-01-29,9845
2023-02-05,13070
2023-02-12,8365
2023-02-19,13815
2023-02-26,7645
2023-03-05,7155
2023-03-12,6090
2023-03-19,4075
2023-03-26,13085
2023-04-02,9590
2023-04-09,9605
2023-04-16,3060
2023-04-23,9925
2023-04-30,4280
2023-05-07,5735
2023-05-14,9050
2023-05-21,17515
2023-05-28,17210
2023-06-04,6005
2023-06-11,11770
2023-06-18,4250
2023-06-25,11820
2023-07-02,8260
2023-07-09,4315
2023-07-16,8645
2023-07-23,6160
2023-07-30,13095
2023-08-06,10610
2023-08-13,6585
2023-08-20,6980
2023-08-27,8945
2023-09-03,8385
2023-09-10,5240
2023-09-17,6375
2023-09-24,1895
2023-10-01,9865
2023-10-08,12980
2023-10-15,7825
2023-10-22,8970
2023-10-29,12140
2023-11-05,8730
2023-11-12,7910
2023-11-19,9475
2023-11-26,7760
2023-12-03,6650
2023-12-10,16690
2023-12-17,7215
2023-12-24,7740
2023-12-31,9305
2024-01-07,1530
